conc_benth,date
18457000000.0,2011-05-17
18135000000.0,2011-05-18
17879000000.0,2011-05-19
17793000000.0,2011-05-20
17762000000.0,2011-05-21
17738000000.0,2011-05-22
17715000000.0,2011-05-23
17693000000.0,2011-05-24
18123000000.0,2011-05-25
17870000000.0,2011-05-26
17783000000.0,2011-05-27
17750000000.0,2011-05-28
17696000000.0,2011-05-29
17598000000.0,2011-05-30
17551000000.0,2011-05-31
17389000000.0,2011-06-01
17111000000.0,2011-06-02
16924000000.0,2011-06-03
16734000000.0,2011-06-04
16483000000.0,2011-06-05
16361000000.0,2011-06-06
16316000000.0,2011-06-07
16292000000.0,2011-06-08
16272000000.0,2011-06-09
16253000000.0,2011-06-10
16233000000.0,2011-06-11
16212000000.0,2011-06-12
16192000000.0,2011-06-13
16173000000.0,2011-06-14
16152000000.0,2011-06-15
16129000000.0,2011-06-16
16107000000.0,2011-06-17
16085000000.0,2011-06-18
16063000000.0,2011-06-19
16038000000.0,2011-06-20
16014000000.0,2011-06-21
15992000000.0,2011-06-22
15970000000.0,2011-06-23
15945000000.0,2011-06-24
15922000000.0,2011-06-25
15897000000.0,2011-06-26
15873000000.0,2011-06-27
17424000000.0,2011-06-28
17141000000.0,2011-06-29
16944000000.0,2011-06-30
16870000000.0,2011-07-01
16835000000.0,2011-07-02
16806000000.0,2011-07-03
16777000000.0,2011-07-04
16749000000.0,2011-07-05
16720000000.0,2011-07-06
16690000000.0,2011-07-07
16660000000.0,2011-07-08
16630000000.0,2011-07-09
16598000000.0,2011-07-10
16564000000.0,2011-07-11
16530000000.0,2011-07-12
16496000000.0,2011-07-13
16463000000.0,2011-07-14
16431000000.0,2011-07-15
16398000000.0,2011-07-16
16367000000.0,2011-07-17
16336000000.0,2011-07-18
16306000000.0,2011-07-19
16278000000.0,2011-07-20
16249000000.0,2011-07-21
16221000000.0,2011-07-22
16191000000.0,2011-07-23
16161000000.0,2011-07-24
16132000000.0,2011-07-25
16102000000.0,2011-07-26
16073000000.0,2011-07-27
16045000000.0,2011-07-28
16015000000.0,2011-07-29
15985000000.0,2011-07-30
15953000000.0,2011-07-31
15921000000.0,2011-08-01
15890000000.0,2011-08-02
15860000000.0,2011-08-03
15829000000.0,2011-08-04
15798000000.0,2011-08-05
15768000000.0,2011-08-06
15737000000.0,2011-08-07
15707000000.0,2011-08-08
15678000000.0,2011-08-09
15649000000.0,2011-08-10
15618000000.0,2011-08-11
15587000000.0,2011-08-12
15555000000.0,2011-08-13
15523000000.0,2011-08-14
15489000000.0,2011-08-15
15457000000.0,2011-08-16
15426000000.0,2011-08-17
15396000000.0,2011-08-18
15363000000.0,2011-08-19
15330000000.0,2011-08-20
15297000000.0,2011-08-21
15266000000.0,2011-08-22
15237000000.0,2011-08-23
15208000000.0,2011-08-24
15177000000.0,2011-08-25
15146000000.0,2011-08-26
15116000000.0,2011-08-27
15086000000.0,2011-08-28
15057000000.0,2011-08-29
15026000000.0,2011-08-30
14994000000.0,2011-08-31
14962000000.0,2011-09-01
14930000000.0,2011-09-02
14899000000.0,2011-09-03
14869000000.0,2011-09-04
14839000000.0,2011-09-05
14809000000.0,2011-09-06
14780000000.0,2011-09-07
14751000000.0,2011-09-08
14720000000.0,2011-09-09
14688000000.0,2011-09-10
14656000000.0,2011-09-11
14624000000.0,2011-09-12
14593000000.0,2011-09-13
14562000000.0,2011-09-14
14529000000.0,2011-09-15
14496000000.0,2011-09-16
14464000000.0,2011-09-17
14434000000.0,2011-09-18
14405000000.0,2011-09-19
14376000000.0,2011-09-20
14346000000.0,2011-09-21
14317000000.0,2011-09-22
14289000000.0,2011-09-23
14259000000.0,2011-09-24
