datetime,subcatchment_S42_Runoff_rate,runf_sum,date,year,month,day
2010-01-10,0.0,0.0,2010-01-10,2010,1,10
2010-01-11,0.0,0.0,2010-01-11,2010,1,11
2010-01-12,0.18962676447512325,0.18962676447512325,2010-01-12,2010,1,12
2010-01-13,0.5748260753109871,0.5748260753109871,2010-01-13,2010,1,13
2010-01-14,0.0,0.0,2010-01-14,2010,1,14
2010-01-15,0.0,0.0,2010-01-15,2010,1,15
2010-01-16,0.0,0.0,2010-01-16,2010,1,16
2010-01-17,0.42843793358093,0.42843793358093,2010-01-17,2010,1,17
2010-01-18,0.6547357949735957,0.6547357949735957,2010-01-18,2010,1,18
2010-01-19,0.7540912639602678,0.7540912639602678,2010-01-19,2010,1,19
2010-01-20,1.0724134455474623,1.0724134455474623,2010-01-20,2010,1,20
2010-01-21,0.41314406407482973,0.41314406407482973,2010-01-21,2010,1,21
2010-01-22,0.222808401337346,0.222808401337346,2010-01-22,2010,1,22
2010-01-23,0.06450962667830487,0.06450962667830487,2010-01-23,2010,1,23
2010-01-24,0.03948693854045755,0.03948693854045755,2010-01-24,2010,1,24
2010-01-25,0.3839427049770571,0.3839427049770571,2010-01-25,2010,1,25
2010-01-26,0.11139355697873853,0.11139355697873853,2010-01-26,2010,1,26
2010-01-27,0.0,0.0,2010-01-27,2010,1,27
2010-01-28,0.0,0.0,2010-01-28,2010,1,28
2010-01-29,0.013730807648272945,0.013730807648272945,2010-01-29,2010,1,29
2010-01-30,0.04617008580158551,0.04617008580158551,2010-01-30,2010,1,30
2010-01-31,0.0,0.0,2010-01-31,2010,1,31
2010-02-01,0.0,0.0,2010-02-01,2010,2,1
2010-02-02,0.0,0.0,2010-02-02,2010,2,2
2010-02-03,0.0,0.0,2010-02-03,2010,2,3
2010-02-04,0.2160879448360866,0.2160879448360866,2010-02-04,2010,2,4
2010-02-05,0.27298867441249486,0.27298867441249486,2010-02-05,2010,2,5
2010-02-06,0.19896374507389009,0.19896374507389009,2010-02-06,2010,2,6
2010-02-07,0.006889497501078477,0.006889497501078477,2010-02-07,2010,2,7
2010-02-08,0.017577040176351002,0.017577040176351002,2010-02-08,2010,2,8
2010-02-09,0.13150476424055796,0.13150476424055796,2010-02-09,2010,2,9
2010-02-10,0.0,0.0,2010-02-10,2010,2,10
2010-02-11,0.0,0.0,2010-02-11,2010,2,11
2010-02-12,0.0,0.0,2010-02-12,2010,2,12
2010-02-13,0.0,0.0,2010-02-13,2010,2,13
2010-02-14,0.0,0.0,2010-02-14,2010,2,14
2010-02-15,0.0,0.0,2010-02-15,2010,2,15
2010-02-16,0.0,0.0,2010-02-16,2010,2,16
2010-02-17,0.0,0.0,2010-02-17,2010,2,17
2010-02-18,0.0,0.0,2010-02-18,2010,2,18
2010-02-19,0.0,0.0,2010-02-19,2010,2,19
2010-02-20,0.0,0.0,2010-02-20,2010,2,20
2010-02-21,0.0,0.0,2010-02-21,2010,2,21
2010-02-22,0.0,0.0,2010-02-22,2010,2,22
2010-02-23,0.3061176168312269,0.3061176168312269,2010-02-23,2010,2,23
2010-02-24,0.15926385954359637,0.15926385954359637,2010-02-24,2010,2,24
