,35,bif_sum,date,year,month,day
517,0.0,0.0,2010-06-04,2010,6,4
518,0.0,0.0,2010-06-05,2010,6,5
519,0.0,0.0,2010-06-06,2010,6,6
520,0.0,0.0,2010-06-07,2010,6,7
521,0.0,0.0,2010-06-08,2010,6,8
522,0.0,0.0,2010-06-09,2010,6,9
523,0.0,0.0,2010-06-10,2010,6,10
524,0.0,0.0,2010-06-11,2010,6,11
525,0.0,0.0,2010-06-12,2010,6,12
526,0.0,0.0,2010-06-13,2010,6,13
527,0.0,0.0,2010-06-14,2010,6,14
528,0.0,0.0,2010-06-15,2010,6,15
529,0.0,0.0,2010-06-16,2010,6,16
530,0.0,0.0,2010-06-17,2010,6,17
531,0.0,0.0,2010-06-18,2010,6,18
532,0.0,0.0,2010-06-19,2010,6,19
533,0.0,0.0,2010-06-20,2010,6,20
534,0.0,0.0,2010-06-21,2010,6,21
535,0.0,0.0,2010-06-22,2010,6,22
536,0.0,0.0,2010-06-23,2010,6,23
537,0.0,0.0,2010-06-24,2010,6,24
538,0.0,0.0,2010-06-25,2010,6,25
539,0.0,0.0,2010-06-26,2010,6,26
540,0.0,0.0,2010-06-27,2010,6,27
541,0.0,0.0,2010-06-28,2010,6,28
542,0.0,0.0,2010-06-29,2010,6,29
543,0.0,0.0,2010-06-30,2010,6,30
544,0.0,0.0,2010-07-01,2010,7,1
545,0.0,0.0,2010-07-02,2010,7,2
546,0.0,0.0,2010-07-03,2010,7,3
547,0.0,0.0,2010-07-04,2010,7,4
548,0.0,0.0,2010-07-05,2010,7,5
549,0.0,0.0,2010-07-06,2010,7,6
550,0.0,0.0,2010-07-07,2010,7,7
551,0.0,0.0,2010-07-08,2010,7,8
552,0.0,0.0,2010-07-09,2010,7,9
553,0.0,0.0,2010-07-10,2010,7,10
554,0.0,0.0,2010-07-11,2010,7,11
555,0.0,0.0,2010-07-12,2010,7,12
556,0.0,0.0,2010-07-13,2010,7,13
557,0.0,0.0,2010-07-14,2010,7,14
558,0.0,0.0,2010-07-15,2010,7,15
559,0.0,0.0,2010-07-16,2010,7,16
560,0.0,0.0,2010-07-17,2010,7,17
561,0.0,0.0,2010-07-18,2010,7,18
562,0.0,0.0,2010-07-19,2010,7,19
563,0.0,0.0,2010-07-20,2010,7,20
564,0.0,0.0,2010-07-21,2010,7,21
565,0.0,0.0,2010-07-22,2010,7,22
566,0.0,0.0,2010-07-23,2010,7,23
567,0.0,0.0,2010-07-24,2010,7,24
568,0.0,0.0,2010-07-25,2010,7,25
569,0.0,0.0,2010-07-26,2010,7,26
570,0.0,0.0,2010-07-27,2010,7,27
