datetime,subcatchment_S53_Runoff_rate,subcatchment_S54_Runoff_rate,subcatchment_S68_Runoff_rate,subcatchment_S70_Runoff_rate,subcatchment_S71_Runoff_rate,subcatchment_S74_Runoff_rate,subcatchment_S75_Runoff_rate,subcatchment_S76_Runoff_rate,subcatchment_S78_Runoff_rate,subcatchment_S79_Runoff_rate,subcatchment_S82_Runoff_rate,subcatchment_S84_Runoff_rate,subcatchment_S85_Runoff_rate,subcatchment_S86_Runoff_rate,subcatchment_S89_Runoff_rate,subcatchment_S91_Runoff_rate,subcatchment_S92_Runoff_rate,subcatchment_S93_Runoff_rate,subcatchment_S94_Runoff_rate,subcatchment_S95_Runoff_rate,subcatchment_S96_Runoff_rate,subcatchment_S97_Runoff_rate,subcatchment_S98_Runoff_rate,subcatchment_S99_Runoff_rate,subcatchment_S102_Runoff_rate,subcatchment_S103_Runoff_rate,subcatchment_S101_Runoff_rate,subcatchment_S108_Runoff_rate,runf_sum,date,year,month,day
2009-02-11,0.14419002461057467,0.39708997362295345,0.2686025060657597,0.03943331865264764,0.2043118031212706,0.2554286498698545,0.18590259969562475,0.09405692402212704,0.42370290035295094,0.16853005549795433,0.4478568861822631,0.42688939633463907,0.47475170808756795,0.4942079471960224,0.2947605608985036,0.3754489648129321,0.3798460730000427,0.2865605442101747,0.2962128035139508,0.5147851167034789,0.32457281377092506,0.11721074003506414,0.18557284755185366,0.16855117550854845,0.03873915587636867,0.5056737589127265,1.4800810391769696,0.2885581987479977,9.281528486031748,2009-02-11,2009,2,11
2009-02-12,0.005256762269161513,0.036147806303519936,0.024962486299308858,0.0025680004169997446,0.008571636234062792,0.012664525386303709,0.006818677933695658,0.004184559553198412,0.04614276953909463,0.005130028233065659,0.038663168370461305,0.027052737061665603,0.05513550509540046,0.04103903891448756,0.016968796935533242,0.038110909890340265,0.024569067111399244,0.016789552929041357,0.014840075863961114,0.05929361533881828,0.01779332658124092,0.004997644273247682,0.0054104802200471225,0.005065219102533216,0.0012092301633922975,0.06485224636538832,0.15611445347563535,0.01959810945153384,0.7599504293125381,2009-02-12,2009,2,12
2009-02-13,0.32337390932290516,0.849726595092544,0.5965572629787029,0.0944818478398994,0.45260744025004046,0.5631490743718948,0.40313237901839183,0.21140657811493652,0.9038473234133234,0.3766319938952596,0.9621877547696271,0.9192075349495187,1.007826310065457,1.0584118047660298,0.6469357611856345,0.8057729592798114,0.828492934919228,0.6283004794249474,0.6510571850340205,1.0949257157518864,0.7050691981488728,0.266668937347486,0.416330877708401,0.37708056550806773,0.08574359172174317,1.0799174053651956,3.134484902824156,0.6331156097817537,20.076443932849735,2009-02-13,2009,2,13
2009-02-14,0.012109335804905315,0.07903895585599548,0.05645401965839116,0.0,0.02475779278868844,0.035316089008332045,0.018180362657187626,0.004373248562646794,0.09881158414626673,0.020194900593776058,0.08664185493748236,0.05349366322465755,0.11730526839832517,0.09082204417225449,0.050192154429736804,0.08021359713034293,0.05940799139209669,0.034643003239635366,0.04288091320080899,0.1263384172321058,0.039967023136546716,0.008077945302329569,0.022721949997400872,0.020319612799455797,0.0039830790003547245,0.13519478214740424,0.3441043230366623,0.052231634727397655,1.7177755465811877,2009-02-14,2009,2,14
2009-02-15,0.08709162776933539,0.22991801435137954,0.1599772475272405,0.006916100280548805,0.1286747679941983,0.15714898040352737,0.11485587815132277,0.039826553593075485,0.2406933102351323,0.1053096383669333,0.2650586955433875,0.26627509933609955,0.27054299486618416,0.2937159508851198,0.1778599331684301,0.2167994581715717,0.23272132861138448,0.18290691270146062,0.18219770581573422,0.2935213729188303,0.2033527232840644,0.06619762988579382,0.11597363745906078,0.10532100059672464,0.023604960310438475,0.28359588122118085,0.8463203516774723,0.17235655560534638,5.468734310730977,2009-02-15,2009,2,15
2009-02-16,0.18582746066200503,0.5059893367471919,0.35595132172078187,0.046945055793646474,0.2611145129423106,0.32616800256544887,0.23198310594337693,0.1200446186820083,0.5403071073939918,0.21318415580041106,0.5704726774724873,0.5390675653172607,0.6028860523431203,0.62687097947751,0.38189963758215534,0.4804027835981171,0.4901621259348551,0.3635617838796383,0.3802241938973857,0.6532485337202326,0.4084097217697586,0.15202674775745348,0.2378289183346501,0.21578092362537246,0.048997072222280044,0.6484024993931484,1.8720729313026088,0.37657880213974965,11.836408628018958,2009-02-16,2009,2,16
2009-02-17,0.42024409131931,1.1404821113033228,0.8044770591329595,0.13114157036689683,0.6004758038001894,0.7419252811908051,0.5291669397441885,0.2809631493959367,1.2231799431135588,0.4944288285727548,1.2816191826340484,1.2054527919585027,1.3655325305595065,1.404391513922063,0.8611522322811401,1.0847081536241634,1.0931057276527418,0.8254941104855203,0.8596597497834355,1.4792733643646319,0.9238399776866734,0.35380274280693713,0.5498225781216162,0.49516348091036616,0.11155195413162863,1.4714159608974269,4.234841509788641,0.8470615291949883,26.814373868743957,2009-02-17,2009,2,17
2009-02-18,0.010081320692589327,0.06583104430621013,0.046730688153298186,0.0,0.018001590432157582,0.02640145721779101,0.012420710999831162,0.004357632558807554,0.08664095687008543,0.012384851497528368,0.062091481497322035,0.03259490612117615,0.10200120391194618,0.06337439889734806,0.03480385827939496,0.06643682555656343,0.03989395642899745,0.022128461268058966,0.029735192335492742,0.10935505628030132,0.025904224996323,0.008176445958652525,0.013979578422673247,0.01247282951760762,0.002810907541746503,0.12402521462207532,0.2899179010671658,0.040270531124889826,1.3628232265560338,2009-02-18,2009,2,18
2009-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-19,2009,2,19
2009-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-20,2009,2,20
